side,limit,margin,stat,type,fromPosition
long,-46037.5,0.01,open,open Position,1587.5
long,-45596.7,0.01,open,open Position,1572.3
long,-45699.65,0.01,open,open Position,1575.85
long,-45854.8,0.01,open,open Position,1581.2
long,-45936,0.01,open,open Position,1584
long,-45770.7,0.01,open,open Position,1578.3
long,-45187.8,0.01,open,open Position,1558.2
long,-44564.3,0.01,open,open Position,1536.7
long,-44258.35,0.01,open,open Position,1526.15
long,-43404.3,0.01,open,open Position,1496.7
long,-43768.25,0.01,open,open Position,1509.25
long,-43808.85,0.01,open,open Position,1510.65
long,-43942.25,0.01,open,open Position,1515.25
long,-44006.05,0.01,open,open Position,1517.45
long,-43997.35,0.01,open,open Position,1517.15
long,-44071.3,0.01,open,open Position,1519.7
long,-44008.95,0.01,open,open Position,1517.55
long,-43832.05,0.01,open,open Position,1511.45
long,-43874.1,0.01,open,open Position,1512.9
long,-43982.85,0.01,open,open Position,1516.65
long,-44526.6,0.01,open,open Position,1535.4
long,-44731.05,0.01,open,open Position,1542.45
long,-44739.75,0.01,open,open Position,1542.75
long,-45041.35,0.01,open,open Position,1553.15
long,-45472,0.01,open,open Position,1568
long,-45547.4,0.01,open,open Position,1570.6
long,-45499.55,0.01,open,open Position,1568.95
long,-47533.9,0.01,open,open Position,1639.1
long,-47706.45,0.01,open,open Position,1645.05
long,-47413.55,0.01,open,open Position,1634.95
long,-47243.9,0.01,open,open Position,1629.1
long,-47188.8,0.01,open,open Position,1627.2
long,-46875.6,0.01,open,open Position,1616.4
long,-47191.7,0.01,open,open Position,1627.3
long,-47230.85,0.01,open,open Position,1628.65
long,-47613.65,0.01,open,open Position,1641.85
long,-47390.35,0.01,open,open Position,1634.15
long,-47136.6,0.01,open,open Position,1625.4
long,-46778.45,0.01,open,open Position,1613.05
long,-47071.35,0.01,open,open Position,1623.15
long,-46894.45,0.01,open,open Position,1617.05
long,-47455.6,0.01,open,open Position,1636.4
long,-47415,0.01,open,open Position,1635
long,-46906.05,0.01,open,open Position,1617.45
long,-47400.5,0.01,open,open Position,1634.5
long,-47648.45,0.01,open,open Position,1643.05
long,-47230.85,0.01,open,open Position,1628.65
long,-47251.15,0.01,open,open Position,1629.35
long,-47256.95,0.01,open,open Position,1629.55
long,-47252.6,0.01,open,open Position,1629.4
long,-47821,0.01,open,open Position,1649
long,-47680.35,0.01,open,open Position,1644.15
long,-47517.95,0.01,open,open Position,1638.55
long,-47307.7,0.01,open,open Position,1631.3
long,-47391.8,0.01,open,open Position,1634.2
long,-47520.85,0.01,open,open Position,1638.65
long,-47306.25,0.01,open,open Position,1631.25
long,-47533.9,0.01,open,open Position,1639.1
long,-48483.65,0.01,open,open Position,1671.85
long,-49155,0.01,open,open Position,1695
long,-49485.6,0.01,open,open Position,1706.4
long,-49614.65,0.01,open,open Position,1710.85
long,-49417.45,0.01,open,open Position,1704.05
long,-49463.85,0.01,open,open Position,1705.65
long,-49136.15,0.01,open,open Position,1694.35
long,-49472.55,0.01,open,open Position,1705.95
long,-49286.95,0.01,open,open Position,1699.55
long,-50080.1,0.01,open,open Position,1726.9
long,-49897.4,0.01,open,open Position,1720.6
long,-50020.65,0.01,open,open Position,1724.85
long,-49823.45,0.01,open,open Position,1718.05
long,-49729.2,0.01,open,open Position,1714.8
long,-49385.55,0.01,open,open Position,1702.95
long,-49569.7,0.01,open,open Position,1709.3
long,-49851,0.01,open,open Position,1719
long,-49877.1,0.01,open,open Position,1719.9
long,-49687.15,0.01,open,open Position,1713.35
long,-49837.95,0.01,open,open Position,1718.55
long,-49804.6,0.01,open,open Position,1717.4
long,-49765.45,0.01,open,open Position,1716.05
long,-49984.4,0.01,open,open Position,1723.6
long,-50435.35,0.01,open,open Position,1739.15
long,-50242.5,0.01,open,open Position,1732.5
long,-50223.65,0.01,open,open Position,1731.85
long,-50172.9,0.01,open,open Position,1730.1
long,-50267.15,0.01,open,open Position,1733.35
long,-49584.2,0.01,open,open Position,1709.8
long,-49745.15,0.01,open,open Position,1715.35
long,-49930.75,0.01,open,open Position,1721.75
long,-50026.45,0.01,open,open Position,1725.05
long,-49959.75,0.01,open,open Position,1722.75
long,-50035.15,0.01,open,open Position,1725.35
long,-49753.85,0.01,open,open Position,1715.65
long,-49782.85,0.01,open,open Position,1716.65
long,-49720.5,0.01,open,open Position,1714.5
long,-49938,0.01,open,open Position,1722
long,-49909,0.01,open,open Position,1721
long,-50277.3,0.01,open,open Position,1733.7
long,-50445.5,0.01,open,open Position,1739.5
long,-50270.05,0.01,open,open Position,1733.45
long,-50747.1,0.01,open,open Position,1749.9
long,-51708.45,0.01,open,open Position,1783.05
long,-51427.15,0.01,open,open Position,1773.35
long,-51356.1,0.01,open,open Position,1770.9
long,-51103.8,0.01,open,open Position,1762.2
