profitLevel,closeLevel,addLossLevel,levrage,maxLongMargin,longPnl,longMargin,maxShortMargin,shortPnl,shortMargin,totalProfit,totalLoss,totalpnl
0.15,0.15,0.3,9,0.02,0,0,0,0,0,4.407400000000003,-2.6608000000000085,1.7465999999999942
0.15,0.15,0.3,9,0.03,0,0,0,0,0,6.611100000000003,-3.991200000000012,2.6198999999999906
0.15,0.15,0.3,9,0.04,0,0,0,0,0,8.814800000000005,-5.321600000000017,3.4931999999999883
0.15,0.15,0.3,9,0.05,0,0,0,0,0,11.018500000000007,-6.652000000000022,4.366499999999984
0.15,0.15,0.3,9,0.06,0,0,0,0,0,13.222200000000006,-7.982400000000024,5.239799999999981
0.15,0.15,0.3,9,0.07,0,0,0,0,0,15.425900000000011,-9.31280000000003,6.11309999999998
0.15,0.15,0.3,9,0.08,0,0,0,0,0,17.62960000000001,-10.643200000000034,6.986399999999977
0.15,0.15,0.3,9,0.09,0,0,0,0,0,19.833300000000012,-11.973600000000037,7.8596999999999735
0.15,0.15,0.3,9,0.1,0,0,0,0,0,22.037000000000013,-13.304000000000045,8.732999999999969
0.15,0.15,0.3,10,0.01,0,0,0,0,0,3.126999999999996,-0.9208000000000016,2.206199999999994
0.15,0.15,0.3,10,0.02,0,0,0,0,0,6.253999999999992,-1.8416000000000032,4.412399999999988
0.15,0.15,0.3,10,0.03,0,0,0,0,0,9.380999999999986,-2.762400000000005,6.618599999999983
0.15,0.15,0.3,10,0.04,0,0,0,0,0,12.507999999999983,-3.6832000000000065,8.824799999999977
0.15,0.15,0.3,10,0.05,0,0,0,0,0,15.634999999999978,-4.604000000000008,11.03099999999997
0.15,0.15,0.3,10,0.06,0,0,0,0,0,18.761999999999972,-5.52480000000001,13.237199999999966
0.15,0.15,0.3,10,0.07,0,0,0,0,0,21.888999999999974,-6.445600000000012,15.443399999999963
0.15,0.15,0.3,10,0.08,0,0,0,0,0,25.015999999999966,-7.366400000000013,17.649599999999953
0.15,0.15,0.3,10,0.09,0,0,0,0,0,28.14299999999997,-8.287200000000013,19.85579999999996
0.15,0.15,0.3,10,0.1,0,0,0,0,0,31.269999999999957,-9.208000000000016,22.06199999999994
0.15,0.15,0.3,11,0,0,0,0.01,0,0,2.370799999999995,-1.4302999999999997,0.9404999999999955
0.15,0.15,0.3,11,0,0,0,0.02,0,0,4.74159999999999,-2.8605999999999994,1.880999999999991
0.15,0.15,0.3,11,0,0,0,0.03,0,0,7.112399999999982,-4.290899999999999,2.8214999999999844
0.15,0.15,0.3,11,0,0,0,0.04,0,0,9.48319999999998,-5.721199999999999,3.761999999999982
0.15,0.15,0.3,11,0,0,0,0.05,0,0,11.853999999999974,-7.151499999999999,4.702499999999976
0.15,0.15,0.3,11,0,0,0,0.06,0,0,14.224799999999965,-8.581799999999998,5.642999999999969
0.15,0.15,0.3,11,0,0,0,0.07,0,0,16.595599999999965,-10.012099999999997,6.583499999999965
0.15,0.15,0.3,11,0,0,0,0.08,0,0,18.96639999999996,-11.442399999999997,7.523999999999964
0.15,0.15,0.3,11,0,0,0,0.09,0,0,21.33719999999995,-12.872699999999996,8.464499999999953
0.15,0.15,0.3,11,0,0,0,0.1,0,0,23.70799999999995,-14.302999999999997,9.404999999999951
0.15,0.15,0.3,12,0,0,0,0,0,0,2.5376000000000003,-1.302700000000002,1.2348999999999979
0.15,0.15,0.3,12,0,0,0,0,0,0,5.075200000000001,-2.605400000000004,2.4697999999999958
0.15,0.15,0.3,12,0,0,0,0,0,0,7.6128,-3.9081000000000063,3.7046999999999937
0.15,0.15,0.3,12,0,0,0,0,0,0,10.150400000000001,-5.210800000000008,4.9395999999999916
0.15,0.15,0.3,12,0,0,0,0,0,0,12.688000000000002,-6.513500000000011,6.174499999999989
0.15,0.15,0.3,12,0,0,0,0,0,0,15.2256,-7.816200000000013,7.409399999999987
0.15,0.15,0.3,12,0,0,0,0,0,0,17.7632,-9.118900000000016,8.644299999999987
0.15,0.15,0.3,12,0,0,0,0,0,0,20.300800000000002,-10.421600000000016,9.879199999999983
0.15,0.15,0.3,12,0,0,0,0,0,0,22.8384,-11.724300000000017,11.114099999999981
0.15,0.15,0.3,12,0,0,0,0,0,0,25.376000000000005,-13.027000000000022,12.348999999999979
0.15,0.15,0.3,15,0,0,0,0,0,0,1.8806000000000018,-1.9423000000000048,-0.06170000000000306
0.15,0.15,0.3,15,0,0,0,0,0,0,3.7612000000000037,-3.8846000000000096,-0.12340000000000612
0.15,0.15,0.3,15,0,0,0,0,0,0,5.641800000000004,-5.826900000000014,-0.18510000000000904
0.15,0.15,0.3,15,0,0,0,0,0,0,7.522400000000007,-7.769200000000019,-0.24680000000001223
0.15,0.15,0.3,15,0,0,0,0,0,0,9.40300000000001,-9.711500000000026,-0.3085000000000151
0.15,0.15,0.3,15,0,0,0,0,0,0,11.283600000000009,-11.653800000000029,-0.37020000000001807
0.15,0.15,0.3,15,0,0,0,0,0,0,13.164200000000013,-13.596100000000034,-0.4319000000000218
0.15,0.15,0.3,15,0,0,0,0,0,0,15.044800000000015,-15.538400000000038,-0.49360000000002446
0.15,0.15,0.3,15,0,0,0,0,0,0,16.925400000000014,-17.48070000000004,-0.5553000000000272
0.15,0.15,0.3,15,0,0,0,0,0,0,18.80600000000002,-19.42300000000005,-0.6170000000000302
0.15,0.15,0.3,18,0,0,0,0,0,0,1.953800000000003,-1.9850999999999974,-0.03129999999999422
0.15,0.15,0.3,18,0,0,0,0,0,0,3.907600000000006,-3.970199999999995,-0.06259999999998844
0.15,0.15,0.3,18,0,0,0,0,0,0,5.86140000000001,-5.955299999999992,-0.09389999999998278
0.15,0.15,0.3,18,0,0,0,0,0,0,7.815200000000012,-7.94039999999999,-0.12519999999997689
0.15,0.15,0.3,18,0,0,0,0,0,0,9.769000000000018,-9.925499999999989,-0.15649999999997144
0.15,0.15,0.3,18,0,0,0,0,0,0,11.72280000000002,-11.910599999999985,-0.18779999999996555
0.15,0.15,0.3,18,0,0,0,0,0,0,13.676600000000025,-13.895699999999982,-0.21909999999996
0.15,0.15,0.3,18,0,0,0,0,0,0,15.630400000000025,-15.88079999999998,-0.25039999999995377
0.15,0.15,0.3,18,0,0,0,0,0,0,17.58420000000003,-17.86589999999998,-0.28169999999994877
0.15,0.15,0.3,18,0,0,0,0,0,0,19.538000000000036,-19.850999999999978,-0.3129999999999429
0.15,0.15,0.3,20,0,0,0,0,0,0,2.5067000000000004,-2.0652999999999953,0.4414000000000056
0.15,0.15,0.3,20,0,0,0,0,0,0,5.013400000000001,-4.1305999999999905,0.8828000000000112
0.15,0.15,0.3,20,0,0,0,0,0,0,7.520100000000002,-6.195899999999987,1.3242000000000167
0.15,0.15,0.3,20,0,0,0,0,0,0,10.026800000000001,-8.261199999999981,1.7656000000000225
0.15,0.15,0.3,20,0,0,0,0,0,0,12.533500000000002,-10.32649999999998,2.2070000000000283
0.15,0.15,0.3,20,0,0,0,0,0,0,15.040200000000004,-12.391799999999973,2.6484000000000334
0.15,0.15,0.3,20,0,0,0,0,0,0,17.546900000000008,-14.457099999999969,3.0898000000000394
0.15,0.15,0.3,20,0,0,0,0,0,0,20.053600000000003,-16.522399999999962,3.531200000000045
0.15,0.15,0.3,20,0,0,0,0,0,0,22.5603,-18.58769999999996,3.97260000000005
0.15,0.15,0.3,20,0,0,0,0,0,0,25.067000000000004,-20.65299999999996,4.4140000000000565
0.15,0.15,0.3,25,0,0,0,0,0,0,2.2109999999999967,-2.8406000000000002,-0.6296000000000024
0.15,0.15,0.3,25,0,0,0,0,0,0,4.4219999999999935,-5.6812000000000005,-1.2592000000000048
0.15,0.15,0.3,25,0,0,0,0,0,0,6.632999999999989,-8.521799999999997,-1.8888000000000071
0.15,0.15,0.3,25,0,0,0,0,0,0,8.843999999999987,-11.362400000000001,-2.5184000000000095
0.15,0.15,0.3,25,0,0,0,0,0,0,11.054999999999982,-14.202999999999996,-3.1480000000000126
0.15,0.15,0.3,25,0,0,0,0,0,0,13.265999999999979,-17.043599999999994,-3.7776000000000143
0.15,0.15,0.3,25,0,0,0,0,0,0,15.476999999999983,-19.884199999999996,-4.407200000000019
