timeStamp,open,high,low,close,vol
2022.09.01 00:00,1569.65,1578.15,1567.65,1577.5,9709.14
2022.09.01 00:15,1577.5,1581.55,1572.95,1578.05,8429.71
2022.09.01 00:30,1578.05,1579.3,1569.05,1570.85,5930.12
2022.09.01 00:45,1570.85,1580,1564.05,1578.7,7044.36
2022.09.01 01:00,1578.7,1584,1564.5,1565.95,15012.67
2022.09.01 01:15,1565.95,1566.65,1553.15,1559.8,23055.89
2022.09.01 01:30,1559.8,1562.4,1555.05,1559.3,9223.21
2022.09.01 01:45,1559.3,1569.15,1557.75,1567.95,13016.32
2022.09.01 02:00,1567.95,1567.95,1554.15,1555.45,15018.29
2022.09.01 02:15,1555.45,1558,1550.1,1552.25,12926.55
2022.09.01 02:30,1552.25,1553.7,1541.5,1547.05,21442.68
2022.09.01 02:45,1547.05,1554.5,1546.75,1553.5,15165.4
2022.09.01 03:00,1553.5,1565.75,1549.2,1562.5,20379.93
2022.09.01 03:15,1562.5,1565.45,1552.85,1557.85,12974.11
2022.09.01 03:30,1557.85,1561.5,1533.45,1534.05,32763.67
2022.09.01 03:45,1534.05,1553.95,1533,1550.3,27863.24
2022.09.01 04:00,1550.3,1559.25,1548.15,1548.2,17041.07
2022.09.01 04:15,1548.2,1556.25,1546.45,1553.4,12265.51
2022.09.01 04:30,1553.4,1563.7,1550.7,1561.45,12015.56
2022.09.01 04:45,1561.45,1563.9,1558.1,1558.8,6860.42
2022.09.01 05:00,1558.8,1573,1558.8,1569.75,17385.58
2022.09.01 05:15,1569.75,1572.85,1567.05,1570.65,10402.19
2022.09.01 05:30,1570.65,1572.2,1558.85,1560.2,14648.79
2022.09.01 05:45,1560.2,1560.4,1550.3,1556.3,15175.27
2022.09.01 06:00,1556.3,1562.9,1553.65,1557,14201.52
2022.09.01 06:15,1557,1560.75,1551.75,1554.7,6660.14
2022.09.01 06:30,1554.7,1555.95,1544.35,1544.4,11566.6
2022.09.01 06:45,1544.4,1554,1535.5,1548.75,30040.9
2022.09.01 07:00,1548.75,1554.25,1542.4,1544.3,9160.67
2022.09.01 07:15,1544.3,1552.35,1541.55,1550.25,8576.88
2022.09.01 07:30,1550.25,1554.85,1550.05,1553.25,4230.17
2022.09.01 07:45,1553.25,1556.3,1548.3,1550.6,8195.34
2022.09.01 08:00,1550.6,1559.05,1547.55,1558.8,8444.18
2022.09.01 08:15,1558.8,1562.15,1557.35,1560.1,10371.56
2022.09.01 08:30,1560.1,1560.6,1555.5,1558.8,8218.07
2022.09.01 08:45,1558.8,1559.15,1550.05,1552.4,6926.69
2022.09.01 09:00,1552.4,1554.3,1546.95,1550.1,12462.07
2022.09.01 09:15,1550.1,1552.65,1543.55,1552.6,10872.35
2022.09.01 09:30,1552.6,1555,1550.35,1550.7,6092.88
2022.09.01 09:45,1550.7,1553.25,1545.45,1549.65,7451.07
2022.09.01 10:00,1549.65,1549.65,1538.65,1544.45,18910.8
2022.09.01 10:15,1544.45,1547.85,1537.55,1538.65,12589.07
2022.09.01 10:30,1538.65,1542.7,1530.05,1541.9,24153.97
2022.09.01 10:45,1541.9,1545.6,1539.5,1543.95,8633.6
2022.09.01 11:00,1543.95,1548.45,1537.85,1548.45,10808.09
2022.09.01 11:15,1548.45,1548.95,1541.8,1541.85,6695.36
2022.09.01 11:30,1541.85,1545.25,1532.25,1540.15,18453.31
2022.09.01 11:45,1540.15,1547,1537.6,1546.8,9236.32
2022.09.01 12:00,1546.8,1554,1542.1,1542.2,18231.86
2022.09.01 12:15,1542.2,1546.35,1537.85,1545.35,19051.24
2022.09.01 12:30,1545.35,1547,1541.55,1547,9885.79
2022.09.01 12:45,1547,1552.75,1544.45,1549.15,11539.44
2022.09.01 13:00,1549.15,1551.6,1546.6,1551.6,7958.4
2022.09.01 13:15,1551.6,1556.8,1548.55,1552.9,14368.73
2022.09.01 13:30,1552.9,1561.8,1551.35,1559.55,14708.71
2022.09.01 13:45,1559.55,1566.8,1555.6,1564.4,19627.35
2022.09.01 14:00,1564.4,1569.5,1558.5,1562.5,21165.23
2022.09.01 14:15,1562.5,1569.3,1560.2,1564.15,12761.88
2022.09.01 14:30,1564.15,1583.55,1563.45,1579.75,46787.92
2022.09.01 14:45,1579.75,1585.3,1575.75,1576.85,21282.65
2022.09.01 15:00,1576.85,1580.45,1570.75,1570.8,16595.89
2022.09.01 15:15,1570.8,1574.45,1562.05,1567.25,21830.18
2022.09.01 15:30,1567.25,1573.05,1551,1557.9,40776.81
2022.09.01 15:45,1557.9,1567.7,1556.55,1564,15142.76
2022.09.01 16:00,1564,1567.5,1558.35,1559.75,13461.27
2022.09.01 16:15,1559.75,1562.3,1555.15,1558.55,10660.21
2022.09.01 16:30,1558.55,1576.25,1553.6,1570.65,40547.57
2022.09.01 16:45,1570.65,1573.6,1555.6,1567,37076.66
2022.09.01 17:00,1567,1570.35,1541.5,1543.15,51692.3
2022.09.01 17:15,1543.15,1551.35,1534.7,1550.65,58336.11
2022.09.01 17:30,1550.65,1551.6,1538.1,1539.65,23361.53
2022.09.01 17:45,1539.65,1542.7,1505,1517.4,111825.39
2022.09.01 18:00,1517.4,1534.55,1512.05,1531.25,46841.6
2022.09.01 18:15,1531.25,1531.95,1525.15,1527.35,16294.61
2022.09.01 18:30,1527.35,1546.2,1527,1534.95,31988.17
2022.09.01 18:45,1534.95,1538,1530.35,1535,21234.54
2022.09.01 19:00,1535,1539.95,1531.45,1537.4,13799.38
2022.09.01 19:15,1537.4,1541.45,1531.6,1535,13258.71
2022.09.01 19:30,1535,1535.05,1522.45,1531.05,26075.18
2022.09.01 19:45,1531.05,1539.55,1524.15,1538.35,30078.53
2022.09.01 20:00,1538.35,1547.65,1535.4,1546.15,20458.98
2022.09.01 20:15,1546.15,1566.75,1542.25,1565.65,41761.94
2022.09.01 20:30,1565.65,1568.3,1555.05,1558.3,26634.66
2022.09.01 20:45,1558.3,1558.3,1551.3,1554.35,16838.49
2022.09.01 21:00,1554.35,1558.7,1551.75,1557.8,11606.24
2022.09.01 21:15,1557.8,1567.55,1555.85,1564.65,17054.34
2022.09.01 21:30,1564.65,1573.7,1559,1561.7,27894.49
2022.09.01 21:45,1561.7,1563.4,1554.85,1558.75,15972.66
2022.09.01 22:00,1558.75,1569.1,1557.9,1565.15,12972.7
2022.09.01 22:15,1565.15,1565.5,1555.3,1557.2,10688.22
2022.09.01 22:30,1557.2,1561.1,1556.7,1560.45,5683.75
2022.09.01 22:45,1560.45,1564.55,1557.2,1564,5423.95
2022.09.01 23:00,1564,1580.2,1561.15,1572,36683.4
2022.09.01 23:15,1572,1580.85,1571.9,1575.1,19936.31
2022.09.01 23:30,1575.1,1577.4,1572.3,1573.2,6722.56
2022.09.01 23:45,1573.2,1586.3,1572.1,1579.3,19529.92
2022.09.02 00:00,1579.3,1585.6,1577.4,1585.6,14380.55
2022.09.02 00:15,1585.6,1595.8,1580.5,1581.1,34496.75
2022.09.02 00:30,1581.1,1586.8,1577.8,1578.95,8629.57
2022.09.02 00:45,1578.95,1584.45,1575.4,1580.65,9390.7
2022.09.02 01:00,1580.65,1600,1580.6,1595.85,24097.58
2022.09.02 01:15,1595.85,1595.95,1585.8,1586.3,10242.18
2022.09.02 01:30,1586.3,1588.55,1582.2,1583.95,8069.55
2022.09.02 01:45,1583.95,1588,1583.3,1585.95,5162.59
2022.09.02 02:00,1585.95,1587.6,1581,1585.2,7561.98
2022.09.02 02:15,1585.2,1590.4,1583.3,1585.4,5449.39
2022.09.02 02:30,1585.4,1589.35,1581.9,1587.7,6260.44
2022.09.02 02:45,1587.7,1588.1,1582.65,1585.35,6161.97
2022.09.02 03:00,1585.35,1585.65,1576.55,1581.75,17262.4
2022.09.02 03:15,1581.75,1581.75,1571.4,1578.6,16034.1
2022.09.02 03:30,1578.6,1579,1575.2,1577.05,8258.4
2022.09.02 03:45,1577.05,1583.25,1576.25,1580.85,5541.82
2022.09.02 04:00,1580.85,1582.35,1570.6,1573.75,10880.43
2022.09.02 04:15,1573.75,1581.25,1572.1,1579.5,8128.72
2022.09.02 04:30,1579.5,1580.1,1576.2,1576.5,4364.86
