timeStamp,open,high,low,close,vol,trend,highLow,closeOpen
1608659100000,626.65,628.6,626.65,628.2,186.95,1,1.9500000000000455,1.5500000000000682
1608658200000,626.7,628.5,624.15,626.65,611.56,-1,-4.350000000000023,-0.05000000000006821
1608657300000,628.5,629.9,626.3,626.7,543.58,-1,-3.6000000000000227,-1.7999999999999545
1608656400000,628.1,630,627.85,628.5,484.92,1,2.1499999999999773,0.39999999999997726
1608655500000,625.65,628.3,624.95,628.1,325.3,1,3.349999999999909,2.4500000000000455
1608654600000,627,627.2,622.4,625.65,1087.12,-1,-4.800000000000068,-1.3500000000000227
1608653700000,628.9,630.65,627,627,1042.07,-1,-3.6499999999999773,-1.8999999999999773
1608652800000,627.15,634.3,627.15,628.9,3816.69,1,7.149999999999977,1.75
1608651900000,628.5,634.3,626.5,627.15,1818.84,-1,-7.7999999999999545,-1.3500000000000227
1608651000000,626.65,629,626.65,628.5,1408.46,1,2.3500000000000227,1.8500000000000227
1608650100000,617.9,627.8,617.9,626.65,2093.62,1,9.899999999999977,8.75
1608649200000,618.1,618.65,616.65,617.9,362.25,-1,-2,-0.20000000000004547
1608648300000,615.9,619.3,615.9,618.1,286.23,1,3.3999999999999773,2.2000000000000455
1608647400000,617.65,618.4,615.65,615.9,581.5,-1,-2.75,-1.75
1608646500000,619.4,620.9,617,617.65,1044.65,-1,-3.8999999999999773,-1.75
1608645600000,618.45,619.8,617.3,619.4,922.14,1,2.5,0.9499999999999318
1608644700000,612.9,619,612.2,618.45,1898.18,1,6.7999999999999545,5.550000000000068
1608643800000,609.4,613.1,609.4,612.9,322.23,1,3.7000000000000455,3.5
1608642900000,611.05,611.75,609.1,609.4,306.55,-1,-2.6499999999999773,-1.6499999999999773
1608642000000,612.35,613.7,610.4,611.05,370.4,-1,-3.300000000000068,-1.3000000000000682
1608641100000,610.15,613.85,610.15,612.35,809.17,1,3.7000000000000455,2.2000000000000455
1608640200000,611.05,613.7,610.15,610.15,901.9,-1,-3.550000000000068,-0.8999999999999773
1608639300000,612.3,612.6,610.65,611.05,835.64,-1,-1.9500000000000455,-1.25
1608638400000,612,614.5,611.25,612.3,882.71,1,3.25,0.2999999999999545
1608637500000,607.3,613.05,607.3,612,928.25,1,5.75,4.7000000000000455
1608636600000,608.1,608.35,606.6,607.3,231.88,-1,-1.75,-0.8000000000000682
1608635700000,609.5,610.6,607.75,608.1,632.45,-1,-2.8500000000000227,-1.3999999999999773
1608634800000,603.7,609.9,603.7,609.5,911.36,1,6.199999999999932,5.7999999999999545
1608633900000,603.8,604.15,601.05,603.7,348.15,-1,-3.1000000000000227,-0.09999999999990905
1608633000000,603.8,605.1,602.5,603.8,1121.98,-1,-2.6000000000000227,0
1608632100000,606.1,606.7,603.8,603.8,524.8,-1,-2.900000000000091,-2.300000000000068
1608631200000,605.25,607.25,604.2,606.1,1032.83,1,3.0499999999999545,0.8500000000000227
1608630300000,598.8,605.3,598.4,605.25,808.13,1,6.899999999999977,6.4500000000000455
1608629400000,599.5,601.75,597.7,598.8,714.08,-1,-4.0499999999999545,-0.7000000000000455
1608628500000,601.4,602.55,598.8,599.5,1661.07,-1,-3.75,-1.8999999999999773
1608627600000,598,602.4,598,601.4,1119.15,1,4.399999999999977,3.3999999999999773
1608626700000,596.65,598.8,595.45,598,1556.52,1,3.349999999999909,1.3500000000000227
1608625800000,590.8,597.55,588.55,596.65,2123.15,1,9,5.850000000000023
1608624900000,595.5,595.65,590.1,590.8,1920.52,-1,-5.5499999999999545,-4.7000000000000455
1608624000000,596.25,598.85,595,595.5,678.95,-1,-3.8500000000000227,-0.75
1608623100000,596.25,598.5,592.95,596.25,1661.92,-1,-5.5499999999999545,0
1608622200000,603.1,603.2,593.6,596.25,4090.19,-1,-9.600000000000023,-6.850000000000023
1608621300000,605.5,605.5,602.35,603.1,168.63,-1,-3.1499999999999773,-2.3999999999999773
1608620400000,603.3,606.2,601.5,605.5,2207.93,1,4.7000000000000455,2.2000000000000455
1608619500000,606.6,607.6,603.25,603.3,385.15,-1,-4.350000000000023,-3.300000000000068
1608618600000,607.7,608,605.1,606.6,168.66,-1,-2.8999999999999773,-1.1000000000000227
1608617700000,605.4,608.7,605.4,607.7,126.52,1,3.300000000000068,2.300000000000068
1608616800000,607.5,608.8,603.75,605.4,441.03,-1,-5.0499999999999545,-2.1000000000000227
1608615900000,606,607.9,605.35,607.5,476.83,1,2.5499999999999545,1.5
1608615000000,608.8,610.05,605.35,606,407.73,-1,-4.699999999999932,-2.7999999999999545
1608614100000,610.25,610.95,607.85,608.8,483.12,-1,-3.1000000000000227,-1.4500000000000455
1608613200000,612.85,612.95,609.55,610.25,277.08,-1,-3.400000000000091,-2.6000000000000227
1608612300000,612.65,613.35,611.65,612.85,251.32,1,1.7000000000000455,0.20000000000004547
1608611400000,613.55,614.2,612.45,612.65,240.21,-1,-1.75,-0.8999999999999773
1608610500000,614.3,615.5,613.4,613.55,155.81,-1,-2.1000000000000227,-0.75
1608609600000,610.65,615.85,610.65,614.3,531.65,1,5.2000000000000455,3.6499999999999773
1608608700000,611.5,612.6,610.6,610.65,471.66,-1,-2,-0.8500000000000227
1608607800000,610.85,611.65,609.85,611.5,295.38,1,1.7999999999999545,0.6499999999999773
1608606900000,612.2,612.2,609.8,610.85,133.85,-1,-2.400000000000091,-1.3500000000000227
1608606000000,613.15,613.25,610.65,612.2,195.65,-1,-2.6000000000000227,-0.9499999999999318
1608605100000,611.15,613.3,610.75,613.15,466.3,1,2.5499999999999545,2
1608604200000,609.55,611.85,609.25,611.15,187.03,1,2.6000000000000227,1.6000000000000227
1608603300000,608.2,610.35,608.1,609.55,266.76,1,2.25,1.349999999999909
1608602400000,605.6,609,605.5,608.2,418.22,1,3.5,2.6000000000000227
1608601500000,606.6,609.1,605.6,605.6,204.36,-1,-3.5,-1
1608600600000,604.7,608.1,603,606.6,526.49,1,5.100000000000023,1.8999999999999773
1608599700000,605.35,606.45,602.55,604.7,1329.94,-1,-3.900000000000091,-0.6499999999999773
1608598800000,605.9,608.8,604.55,605.35,363.65,-1,-4.25,-0.5499999999999545
1608597900000,609.05,610.05,605.75,605.9,509.15,-1,-4.2999999999999545,-3.1499999999999773
1608597000000,613.65,613.65,607.05,609.05,745.74,-1,-6.600000000000023,-4.600000000000023
1608596100000,611.25,614.2,611.25,613.65,1210.67,1,2.9500000000000455,2.3999999999999773
