m1,m1CloseOpen,m15,m15CloseOpen,h1,h1CloseOpen,h4,h4CloseOpen,d1,d1CloseOpen
up,1.5,up,3.099999999999909,down,2.8999999999998636,down,16,down,-35.299999999999955
up,0.5500000000001819,up,-3.75,up,13.100000000000136,down,-38.850000000000136,down,-75.09999999999991
up,1.199999999999818,up,8.600000000000136,up,-9.150000000000091,down,5.650000000000091,down,4.5499999999999545
up,-0.3999999999998636,up,-2.4500000000000455,up,-5.2999999999999545,down,1.099999999999909,down,12.599999999999909
down,-0.049999999999954525,up,10.700000000000045,up,-10.549999999999955,down,-2.0499999999999545,down,-15.299999999999955
up,-1.400000000000091,down,8.049999999999955,up,-13.850000000000136,down,-16.799999999999955,down,-37.799999999999955
up,-2.099999999999909,down,-9.400000000000091,up,-4.099999999999909,down,-42.700000000000045,down,10.5
up,1.949999999999818,up,-11.149999999999864,up,-0.5499999999999545,down,7.600000000000136,down,22.049999999999955
up,1.2000000000000455,down,3.349999999999909,up,7.7999999999999545,down,9.449999999999818,down,-36
up,-0.75,down,-2.6499999999998636,up,2.5,up,-51.84999999999991,down,-31.549999999999955
up,1.5499999999999545,down,3.6499999999998636,up,-2.5,up,1.25,down,-10.25
up,-1.349999999999909,down,-2.099999999999909,up,6,up,1.150000000000091,up,197.54999999999995
up,0.7999999999999545,down,-4.2000000000000455,up,0.7999999999999545,up,9.149999999999864,up,-232.79999999999995
up,0.40000000000009095,down,-8.599999999999909,up,-3.2000000000000455,up,-0.8999999999998636,up,-233.29999999999995
up,-0.5499999999999545,down,7.949999999999818,up,-4.599999999999909,up,-1.6000000000001364,down,-0.8000000000001819
up,-0.9500000000000455,down,-4.099999999999909,up,-8,up,4.7999999999999545,down,-58.84999999999991
up,-0.75,down,-5.7999999999999545,down,6.9500000000000455,up,-2.25,down,-17.15000000000009
up,1.2999999999999545,down,2.1499999999998636,down,3.599999999999909,up,-4.649999999999864,down,113.40000000000009
up,0.650000000000091,up,3.150000000000091,down,2.5,up,3.349999999999909,down,13.099999999999909
up,-1.300000000000182,up,-13.700000000000045,down,-8.549999999999955,up,-1.25,down,-60.549999999999955
up,-0.7999999999999545,up,-5.4500000000000455,down,-9.150000000000091,up,-6.25,down,5.650000000000091
up,0.049999999999954525,up,-0.599999999999909,down,-1.599999999999909,down,2.7000000000000455,down,-17.450000000000045
down,-0.3999999999998636,up,-1.599999999999909,down,-0.599999999999909,down,-5.4500000000000455,down,-29.15000000000009
