timeStamp,open,high,low,close,vol,trend,highLow,closeOpen,upperBB,midBB,lowerBB,pbBB,highUpper,lowLower,hull,hullGreaterAvg10,bbTrend
1669060800000,1091.05,1105.45,1088.9,1099.7,54623.35,1,16.549999999999955,8.650000000000091,1134.6054626768075,1108.345,1082.0845373231925,0.9522959152006799,-29.155462676807474,6.815462676807556,-22.339999999999918,-39.02449999999978,up
1669059900000,1083,1092.4,1077.45,1091.05,32832.74,1,14.950000000000045,8.049999999999955,1138.1491501650116,1110.0375,1081.9258498349882,0.9181985024355513,-45.74915016501154,-4.475849834988139,-50.22499999999968,-40.262499999999775,down
1669059000000,1092.4,1096.75,1079.2,1083,92119.19,-1,-17.549999999999955,-9.400000000000091,1140.725376661845,1112.185,1083.6446233381548,0.8821778573294715,-43.975376661845075,-4.44462333815477,-48.419999999999845,-38.70349999999978,down
1669058100000,1103.55,1106,1086.4,1092.4,50766.46,-1,-19.59999999999991,-11.149999999999864,1141.6013955834549,1114.775,1087.9486044165453,0.8732331452748412,-35.60139558345486,-1.5486044165452313,-37.15000000000009,-36.44249999999979,down
1669057200000,1100.2,1104.85,1098.7,1103.55,9486.66,1,6.149999999999864,3.349999999999909,1143.4026221356767,1116.9975,1090.5923778643232,0.8759213818060072,-38.552622135676756,8.10762213567682,-30.444999999999936,-34.849499999999765,up
1669056300000,1102.85,1106.85,1100,1100.2,18910.43,-1,-6.849999999999909,-2.6499999999998636,1145.2170591230438,1118.5375,1091.857940876956,0.7963411038217327,-38.36705912304387,8.142059123043964,-30.22499999999991,-35.903999999999726,up
1669055400000,1099.2,1104.4,1094.75,1102.85,17036.84,1,9.650000000000091,3.6499999999998636,1146.408907929791,1120.2549999999997,1094.1010920702083,0.7732861191982171,-42.008907929790894,0.648907929791676,-41.35999999999922,-35.45099999999968,down
1669054500000,1101.3,1102,1092.75,1099.2,28068.39,-1,-9.25,-2.099999999999909,1147.5949410204594,1121.8974999999998,1096.2000589795402,0.7685578690308323,-45.59494102045937,-3.4500589795402448,-49.04499999999962,-31.737499999999727,down
1669053600000,1105.5,1108.6,1090.3,1101.3,90506.89,-1,-18.299999999999955,-4.2000000000000455,1148.3217770315368,1123.87,1099.418222968463,0.8022275227877617,-39.72177703153693,-9.118222968462987,-48.83999999999992,-26.6164999999997,down
1669052700000,1114.1,1114.1,1104.65,1105.5,16950.92,-1,-9.449999999999818,-8.599999999999909,1147.915995160068,1125.4724999999999,1103.0290048399318,0.6754962839748743,-33.81599516006804,1.6209951600683326,-32.19499999999971,-21.104499999999643,down
