type,pp,limit,margin,side,stat
open Position,1480.59,1450.98,0.01,long,filled
close Position,1480.59,1529.94,0.29,long,canceled
open Position,1479.6,1450.01,0.01,long,filled
close Position,1479.6,1528.92,0.3,long,canceled
open Position,1478.65,1449.08,0.01,long,filled
close Position,1478.65,1527.94,0.31,long,canceled
open Position,1477.73,1448.18,0.01,long,filled
close Position,1477.73,1526.99,0.32,long,canceled
open Position,1476.83,1447.29,0.01,long,filled
close Position,1476.83,1526.06,0.33,long,canceled
open Position,1475.96,1446.44,0.01,long,filled
close Position,1475.96,1525.16,0.34,long,canceled
open Position,1475.12,1445.62,0.01,long,filled
close Position,1475.12,1524.29,0.35,long,canceled
open Position,1474.3,1444.81,0.01,long,filled
close Position,1474.3,1523.44,0.36,long,canceled
open Position,1473.5,1444.03,0.01,long,filled
close Position,1473.5,1522.62,0.37,long,canceled
open Position,1472.72,1443.27,0.01,long,filled
close Position,1472.72,1521.81,0.38,long,canceled
open Position,1471.96,1442.52,0.01,long,filled
close Position,1471.96,1521.03,0.39,long,canceled
open Position,1471.22,1441.8,0.01,long,filled
close Position,1471.22,1520.26,0.4,long,canceled
open Position,1470.5,1441.09,0.01,long,filled
close Position,1470.5,1519.52,0.41,long,canceled
open Position,1469.8,1440.4,0.01,long,filled
close Position,1469.8,1518.79,0.42,long,canceled
open Position,1469.12,1439.74,0.01,long,filled
close Position,1469.12,1518.09,0.43,long,canceled
open Position,1468.45,1439.08,0.01,long,filled
close Position,1468.45,1517.4,0.44,long,canceled
open Position,1467.8,1438.44,0.01,long,filled
close Position,1467.8,1516.73,0.45,long,canceled
open Position,1467.16,1437.82,0.01,long,filled
close Position,1467.16,1516.07,0.46,long,canceled
open Position,1466.54,1437.21,0.01,long,filled
close Position,1466.54,1515.42,0.47,long,canceled
open Position,1465.93,1436.61,0.01,long,filled
close Position,1465.93,1514.79,0.48,long,canceled
open Position,1465.33,1436.02,0.01,long,filled
close Position,1465.33,1514.17,0.49,long,canceled
open Position,1464.74,1435.45,0.01,long,filled
close Position,1464.74,1513.56,0.5,long,canceled
open Position,1464.17,1434.89,0.01,long,filled
close Position,1464.17,1512.98,0.51,long,canceled
open Position,1463.61,1434.34,0.01,long,filled
close Position,1463.61,1512.4,0.52,long,canceled
open Position,1463.06,1433.8,0.01,long,filled
close Position,1463.06,1511.83,0.53,long,canceled
open Position,1462.52,1433.27,0.01,long,filled
close Position,1462.52,1511.27,0.54,long,canceled
open Position,1461.99,1432.75,0.01,long,filled
close Position,1461.99,1510.72,0.55,long,canceled
open Position,1461.47,1432.24,0.01,long,filled
close Position,1461.47,1510.19,0.56,long,canceled
open Position,1460.96,1431.74,0.01,long,filled
close Position,1460.96,1509.66,0.57,long,canceled
open Position,1460.46,1431.25,0.01,long,open
close Position,1460.46,1509.14,0.58,long,open
